YEARS,COUNT,PERCENTAGE
56.5,24,0.001%
56.6,25,0.001%
56.7,23,9.0E-4%
56.8,24,0.001%
56.9,17,7.0E-4%
57.0,65,0.0026%
57.1,15,6.0E-4%
57.2,27,0.0011%
57.3,21,8.0E-4%
57.4,20,8.0E-4%
57.5,22,9.0E-4%
57.6,20,8.0E-4%
57.7,16,6.0E-4%
57.8,28,0.0011%
57.9,21,8.0E-4%
58.0,68,0.0027%
58.1,24,0.001%
58.2,19,8.0E-4%
58.3,20,8.0E-4%
58.4,29,0.0012%
58.5,23,9.0E-4%
58.6,22,9.0E-4%
58.7,22,9.0E-4%
58.8,25,0.001%
58.9,26,0.001%
59.0,51,0.002%
59.1,20,8.0E-4%
59.2,22,9.0E-4%
59.3,18,7.0E-4%
59.4,27,0.0011%
59.5,29,0.0012%
59.6,20,8.0E-4%
59.7,35,0.0014%
59.8,32,0.0013%
59.9,28,0.0011%
60.0,122,0.0049%
60.1,30,0.0012%
60.2,29,0.0012%
60.3,28,0.0011%
60.4,23,9.0E-4%
60.5,33,0.0013%
60.6,32,0.0013%
60.7,21,8.0E-4%
60.8,30,0.0012%
60.9,25,0.001%
61.0,73,0.0029%
61.1,23,9.0E-4%
61.2,22,9.0E-4%
61.3,29,0.0012%
61.4,27,0.0011%
61.5,27,0.0011%
61.6,36,0.0014%
61.7,27,0.0011%
61.8,27,0.0011%
61.9,27,0.0011%
62.0,81,0.0032%
62.1,25,0.001%
62.2,24,0.001%
62.3,26,0.001%
62.4,30,0.0012%
62.5,44,0.0018%
62.6,30,0.0012%
62.7,34,0.0014%
62.8,30,0.0012%
62.9,19,8.0E-4%
63.0,72,0.0029%
63.1,30,0.0012%
63.2,28,0.0011%
63.3,33,0.0013%
63.4,23,9.0E-4%
63.5,41,0.0016%
63.6,37,0.0015%
63.7,20,8.0E-4%
63.8,35,0.0014%
63.9,29,0.0012%
64.0,83,0.0033%
64.1,27,0.0011%
64.2,23,9.0E-4%
64.3,38,0.0015%
64.4,30,0.0012%
64.5,29,0.0012%
64.6,42,0.0017%
64.7,34,0.0014%
64.8,28,0.0011%
64.9,32,0.0013%
65.0,117,0.0047%
65.1,30,0.0012%
65.2,28,0.0011%
65.3,41,0.0016%
65.4,33,0.0013%
65.5,42,0.0017%
65.6,28,0.0011%
65.7,34,0.0014%
65.8,34,0.0014%
65.9,43,0.0017%
66.0,82,0.0033%
66.1,35,0.0014%
66.2,36,0.0014%
66.3,37,0.0015%
66.4,36,0.0014%
66.5,34,0.0014%
66.6,47,0.0019%
66.7,44,0.0018%
66.8,40,0.0016%
66.9,38,0.0015%
67.0,84,0.0034%
67.1,36,0.0014%
67.2,33,0.0013%
67.3,27,0.0011%
67.4,36,0.0014%
67.5,31,0.0012%
67.6,37,0.0015%
67.7,33,0.0013%
67.8,32,0.0013%
67.9,37,0.0015%
68.0,78,0.0031%
68.1,34,0.0014%
68.2,37,0.0015%
68.3,42,0.0017%
68.4,24,0.001%
68.5,47,0.0019%
68.6,26,0.001%
68.7,38,0.0015%
68.8,57,0.0023%
68.9,27,0.0011%
69.0,91,0.0036%
69.1,36,0.0014%
69.2,26,0.001%
69.3,46,0.0018%
69.4,39,0.0016%
69.5,44,0.0018%
69.6,52,0.0021%
69.7,36,0.0014%
69.8,43,0.0017%
69.9,36,0.0014%
70.0,130,0.0052%
70.1,49,0.002%
70.2,41,0.0016%
70.3,58,0.0023%
70.4,37,0.0015%
70.5,48,0.0019%
70.6,42,0.0017%
70.7,38,0.0015%
70.8,40,0.0016%
70.9,40,0.0016%
71.0,109,0.0044%
71.1,44,0.0018%
71.2,40,0.0016%
71.3,35,0.0014%
71.4,37,0.0015%
71.5,61,0.0024%
71.6,45,0.0018%
71.7,41,0.0016%
71.8,41,0.0016%
71.9,42,0.0017%
72.0,105,0.0042%
72.1,36,0.0014%
72.2,56,0.0022%
72.3,48,0.0019%
72.4,55,0.0022%
72.5,39,0.0016%
72.6,47,0.0019%
72.7,45,0.0018%
72.8,44,0.0018%
72.9,42,0.0017%
73.0,117,0.0047%
73.1,40,0.0016%
73.2,44,0.0018%
73.3,42,0.0017%
73.4,39,0.0016%
73.5,51,0.002%
73.6,36,0.0014%
73.7,44,0.0018%
73.8,49,0.002%
73.9,41,0.0016%
74.0,102,0.0041%
74.1,50,0.002%
74.2,47,0.0019%
74.3,31,0.0012%
74.4,37,0.0015%
74.5,33,0.0013%
74.6,47,0.0019%
74.7,59,0.0024%
74.8,53,0.0021%
74.9,52,0.0021%
75.0,106,0.0042%
75.1,69,0.0028%
75.2,37,0.0015%
75.3,46,0.0018%
75.4,54,0.0022%
75.5,43,0.0017%
75.6,45,0.0018%
75.7,47,0.0019%
75.8,42,0.0017%
75.9,41,0.0016%
76.0,69,0.0028%
76.1,65,0.0026%
76.2,50,0.002%
76.3,44,0.0018%
76.4,43,0.0017%
76.5,58,0.0023%
76.6,61,0.0024%
76.7,38,0.0015%
76.8,53,0.0021%
76.9,66,0.0026%
77.0,77,0.0031%
77.1,92,0.0037%
77.2,57,0.0023%
77.3,49,0.002%
77.4,46,0.0018%
77.5,38,0.0015%
77.6,44,0.0018%
77.7,52,0.0021%
77.8,51,0.002%
77.9,57,0.0023%
78.0,86,0.0034%
78.1,82,0.0033%
78.2,42,0.0017%
78.3,49,0.002%
78.4,40,0.0016%
78.5,54,0.0022%
78.6,56,0.0022%
78.7,47,0.0019%
78.8,36,0.0014%
78.9,47,0.0019%
79.0,41,0.0016%
79.1,86,0.0034%
79.2,61,0.0024%
79.3,46,0.0018%
79.4,32,0.0013%
79.5,38,0.0015%
79.6,55,0.0022%
79.7,47,0.0019%
79.8,69,0.0028%
79.9,65,0.0026%
80.0,53,0.0021%
80.1,129,0.0052%
80.2,48,0.0019%
80.3,44,0.0018%
80.4,56,0.0022%
80.5,39,0.0016%
80.6,44,0.0018%
80.7,45,0.0018%
80.8,54,0.0022%
80.9,57,0.0023%
81.0,37,0.0015%
81.1,68,0.0027%
81.2,44,0.0018%
81.3,43,0.0017%
81.4,52,0.0021%
81.5,46,0.0018%
81.6,44,0.0018%
81.7,45,0.0018%
81.8,42,0.0017%
81.9,40,0.0016%
82.0,51,0.002%
82.1,86,0.0034%
82.2,32,0.0013%
82.3,47,0.0019%
82.4,48,0.0019%
82.5,53,0.0021%
82.6,42,0.0017%
82.7,41,0.0016%
82.8,35,0.0014%
82.9,31,0.0012%
83.0,41,0.0016%
83.1,68,0.0027%
83.2,44,0.0018%
83.3,40,0.0016%
83.4,33,0.0013%
83.5,47,0.0019%
83.6,35,0.0014%
83.7,41,0.0016%
83.8,39,0.0016%
83.9,39,0.0016%
84.0,34,0.0014%
84.1,87,0.0035%
84.2,37,0.0015%
84.3,31,0.0012%
84.4,29,0.0012%
84.5,31,0.0012%
84.6,46,0.0018%
84.7,33,0.0013%
84.8,37,0.0015%
84.9,42,0.0017%
85.0,32,0.0013%
85.1,72,0.0029%
85.2,38,0.0015%
85.3,35,0.0014%
85.4,50,0.002%
85.5,48,0.0019%
85.6,33,0.0013%
85.7,37,0.0015%
85.8,29,0.0012%
85.9,35,0.0014%
86.0,28,0.0011%
86.1,74,0.003%
86.2,42,0.0017%
86.3,32,0.0013%
86.4,32,0.0013%
86.5,37,0.0015%
86.6,34,0.0014%
86.7,47,0.0019%
86.8,30,0.0012%
86.9,31,0.0012%
87.0,30,0.0012%
87.1,79,0.0032%
87.2,38,0.0015%
87.3,26,0.001%
87.4,29,0.0012%
87.5,27,0.0011%
87.6,41,0.0016%
87.7,38,0.0015%
87.8,35,0.0014%
87.9,34,0.0014%
88.0,41,0.0016%
88.1,71,0.0028%
88.2,33,0.0013%
88.3,30,0.0012%
88.4,33,0.0013%
88.5,37,0.0015%
88.6,23,9.0E-4%
88.7,33,0.0013%
88.8,26,0.001%
88.9,28,0.0011%
89.0,25,0.001%
89.1,39,0.0016%
89.2,25,0.001%
89.3,19,8.0E-4%
89.4,23,9.0E-4%
89.5,23,9.0E-4%
89.6,21,8.0E-4%
89.7,20,8.0E-4%
89.8,18,7.0E-4%
89.9,26,0.001%
90.0,27,0.0011%
90.1,59,0.0024%
90.2,20,8.0E-4%
90.3,23,9.0E-4%
90.4,23,9.0E-4%
90.5,22,9.0E-4%
90.6,23,9.0E-4%
90.7,18,7.0E-4%
90.8,26,0.001%
90.9,19,8.0E-4%
91.0,13,5.0E-4%
91.1,49,0.002%
91.2,12,5.0E-4%
91.3,17,7.0E-4%
91.4,20,8.0E-4%
91.5,15,6.0E-4%
91.6,21,8.0E-4%
91.7,13,5.0E-4%
91.8,13,5.0E-4%
91.9,16,6.0E-4%
92.0,15,6.0E-4%
92.1,33,0.0013%
92.2,8,3.0E-4%
92.3,16,6.0E-4%
92.4,22,9.0E-4%
92.5,17,7.0E-4%
92.6,13,5.0E-4%
92.7,16,6.0E-4%
92.8,12,5.0E-4%
92.9,16,6.0E-4%
93.0,14,6.0E-4%
93.1,38,0.0015%
93.2,8,3.0E-4%
93.3,12,5.0E-4%
93.4,7,3.0E-4%
93.5,10,4.0E-4%
93.6,14,6.0E-4%
93.7,6,2.0E-4%
93.8,10,4.0E-4%
93.9,14,6.0E-4%
94.0,19,8.0E-4%
94.1,18,7.0E-4%
94.2,17,7.0E-4%
94.3,10,4.0E-4%
94.4,16,6.0E-4%
94.5,10,4.0E-4%
94.6,9,4.0E-4%
94.7,13,5.0E-4%
94.8,10,4.0E-4%
94.9,10,4.0E-4%
95.0,13,5.0E-4%
95.1,25,0.001%
95.2,5,2.0E-4%
95.3,10,4.0E-4%
95.4,8,3.0E-4%
95.5,10,4.0E-4%
95.6,7,3.0E-4%
95.7,11,4.0E-4%
95.8,12,5.0E-4%
95.9,10,4.0E-4%
96.0,10,4.0E-4%
96.1,21,8.0E-4%
96.2,9,4.0E-4%
96.3,8,3.0E-4%
96.4,8,3.0E-4%
96.5,3,1.0E-4%
96.6,11,4.0E-4%
96.7,7,3.0E-4%
96.8,8,3.0E-4%
96.9,7,3.0E-4%
97.0,9,4.0E-4%
97.1,17,7.0E-4%
97.2,8,3.0E-4%
97.3,9,4.0E-4%
97.4,8,3.0E-4%
97.5,4,2.0E-4%
97.6,6,2.0E-4%
97.7,4,2.0E-4%
97.8,4,2.0E-4%
97.9,6,2.0E-4%
98.0,4,2.0E-4%
98.1,24,0.001%
98.2,4,2.0E-4%
98.3,4,2.0E-4%
98.4,5,2.0E-4%
98.5,5,2.0E-4%
98.6,2,1.0E-4%
98.7,7,3.0E-4%
98.8,2,1.0E-4%
98.9,3,1.0E-4%
99.0,5,2.0E-4%
99.1,16,6.0E-4%
99.2,5,2.0E-4%
99.3,5,2.0E-4%
99.4,2,1.0E-4%
99.5,3,1.0E-4%
99.6,8,3.0E-4%
99.7,16,6.0E-4%
99.8,8,3.0E-4%
99.9,8,3.0E-4%
100.0,7,3.0E-4%
100.1,110,0.0044%
100.2,8,3.0E-4%
100.3,7,3.0E-4%
100.4,9,4.0E-4%
100.5,4,2.0E-4%
100.6,5,2.0E-4%
100.7,1,0.0%
100.8,3,1.0E-4%
100.9,4,2.0E-4%
101.0,4,2.0E-4%
101.1,13,5.0E-4%
101.2,2,1.0E-4%
101.3,1,0.0%
101.4,1,0.0%
101.5,3,1.0E-4%
101.6,1,0.0%
101.7,3,1.0E-4%
101.8,1,0.0%
101.9,1,0.0%
102.1,10,4.0E-4%
102.2,2,1.0E-4%
102.4,1,0.0%
102.5,1,0.0%
102.6,1,0.0%
102.7,3,1.0E-4%
102.9,1,0.0%
103.0,1,0.0%
103.1,6,2.0E-4%
103.2,2,1.0E-4%
103.3,1,0.0%
103.4,2,1.0E-4%
103.5,2,1.0E-4%
103.7,2,1.0E-4%
104.1,4,2.0E-4%
104.2,2,1.0E-4%
104.5,3,1.0E-4%
104.7,1,0.0%
104.8,2,1.0E-4%
105.0,1,0.0%
105.1,6,2.0E-4%
105.3,1,0.0%
105.4,1,0.0%
105.5,1,0.0%
105.6,1,0.0%
105.7,2,1.0E-4%
105.9,2,1.0E-4%
106.1,3,1.0E-4%
106.2,1,0.0%
106.8,1,0.0%
107.1,7,3.0E-4%
107.2,1,0.0%
107.7,2,1.0E-4%
107.8,1,0.0%
108.1,6,2.0E-4%
108.2,1,0.0%
108.7,1,0.0%
108.9,1,0.0%
109.1,2,1.0E-4%
109.5,1,0.0%
109.6,3,1.0E-4%
109.7,6,2.0E-4%
109.8,6,2.0E-4%
109.9,2,1.0E-4%
110.0,2,1.0E-4%
110.1,43,0.0017%
110.2,7,3.0E-4%
110.3,4,2.0E-4%
110.4,2,1.0E-4%
110.5,3,1.0E-4%
110.6,1,0.0%
110.8,1,0.0%
111.1,6,2.0E-4%
111.6,1,0.0%
112.1,1,0.0%
112.5,1,0.0%
112.6,1,0.0%
113.1,1,0.0%
113.5,1,0.0%
114.1,2,1.0E-4%
114.7,1,0.0%
115.1,4,2.0E-4%
116.2,1,0.0%
117.1,3,1.0E-4%
118.0,1,0.0%
118.6,1,0.0%
119.0,1,0.0%
119.1,1,0.0%
120.1,2,1.0E-4%
121.1,1,0.0%
121.8,1,0.0%
123.1,2,1.0E-4%
123.6,1,0.0%
124.1,1,0.0%
125.1,2,1.0E-4%
125.2,2,1.0E-4%
125.8,1,0.0%
127.1,1,0.0%
130.1,1,0.0%
131.1,1,0.0%
133.1,1,0.0%
135.6,1,0.0%
137.1,1,0.0%
138.1,1,0.0%
139.9,1,0.0%
140.1,1,0.0%
146.7,1,0.0%
147.0,1,0.0%
149.1,1,0.0%
150.1,2,1.0E-4%
155.0,1,0.0%
155.1,1,0.0%
157.4,1,0.0%
174.1,1,0.0%
175.1,1,0.0%
180.0,1,0.0%
180.1,1,0.0%
197.8,1,0.0%
325.2,1,0.0%
379.1,1,0.0%
1067.2,1,0.0%
1078.4,1,0.0%
1765.6,1,0.0%
1816.7,1,0.0%
1976.5,1,0.0%
1997.3,1,0.0%
